epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,4.511342,4.727296,0.864000,0.361303,0.397105,0.992222,06:04
1,4.616411,4.781816,0.861000,0.345646,0.392888,1.010820,06:03
2,4.623806,4.658649,0.858000,0.403535,0.368867,0.971562,06:04
3,4.549691,4.725235,0.860000,0.339521,0.389213,0.999125,06:04
4,4.454890,4.720831,0.867000,0.377638,0.357824,0.996342,06:03
5,4.577091,4.823155,0.854000,0.381786,0.385547,1.013955,06:01
6,4.553497,4.792169,0.868000,0.345589,0.367596,1.019746,06:03
7,4.549674,4.600008,0.867000,0.356373,0.363186,0.970112,06:02
8,4.558543,4.547833,0.869000,0.352116,0.376491,0.954807,06:03
9,4.543436,4.586572,0.872000,0.363065,0.370093,0.963353,06:03
