epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,10.521351,10.472399,0.874000,0.333063,0.391006,0.974833,05:58
1,10.581263,10.558564,0.869000,0.347538,0.402190,0.980884,05:58
2,10.431033,10.463285,0.872000,0.370090,0.393731,0.969946,05:59
3,10.728450,10.422995,0.863000,0.345458,0.388731,0.968881,05:59
4,10.418037,10.219256,0.878000,0.340506,0.361763,0.951699,06:00
5,10.623943,10.654548,0.866000,0.366624,0.421297,0.986663,05:57
6,10.332906,10.332557,0.876000,0.323882,0.386387,0.962229,05:57
7,10.446974,10.585341,0.872000,0.365331,0.364676,0.985534,05:57
8,10.356100,10.662657,0.874000,0.353939,0.358750,0.994997,05:57
9,10.407221,10.522042,0.872000,0.343230,0.371793,0.980702,05:57
