epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,1.428411,1.532345,0.725000,793.750000,0.532411,0.999934,07:49
1,1.116489,1.233179,0.732000,337.750000,0.468707,0.764472,07:50
2,0.930777,1.020224,0.810000,378.500000,0.380553,0.639671,07:51
3,0.668268,0.788912,0.857000,314.250000,0.294815,0.494097,07:51
4,0.597084,0.608808,0.903000,234.000000,0.194815,0.413993,07:52
5,0.491580,0.567702,0.901000,162.500000,0.187166,0.380535,08:00
6,0.509434,0.580478,0.895000,136.000000,0.207760,0.372718,08:03
7,0.514308,0.522644,0.907000,150.750000,0.188221,0.334423,08:03
8,0.507844,0.629500,0.881000,173.000000,0.245836,0.383664,08:02
9,0.467445,0.560753,0.910000,162.750000,0.186623,0.374130,08:02
