epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss_0,triplet_loss,time
0,5.922072,6.104235,0.536000,784,1.421747,0.529810,1.038169,06:05
1,5.738932,5.737466,0.593000,522,1.189073,0.514855,1.008384,06:04
2,5.599694,5.795464,0.607000,734,1.166921,0.535386,1.023289,06:06
3,5.442851,5.551478,0.698000,652,0.835920,0.545675,1.042471,06:05
4,5.304730,5.516248,0.672000,474,0.816902,0.545729,1.038404,06:05
5,5.395588,5.369910,0.698000,558,0.825515,0.506363,1.009508,06:05
6,5.199376,5.329484,0.712000,451,0.781893,0.506519,1.010268,06:06
7,5.240396,5.372881,0.724000,494,0.726503,0.530187,1.029047,06:05
8,5.127562,5.328074,0.705000,453,0.767599,0.503217,1.014315,06:06
9,5.189411,5.372299,0.702000,403,0.829038,0.493106,1.012539,06:06
