epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,2.356126,2.320908,0.479000,810.250000,1.320941,0.999968,05:51
1,2.082173,2.157452,0.521000,549.500000,1.157702,0.999750,05:50
2,1.699242,1.644000,0.696000,513.500000,0.647749,0.996251,05:52
3,1.401559,1.497504,0.768000,349.750000,0.498432,0.999072,05:54
4,1.410375,1.468999,0.792000,274.000000,0.469415,0.999584,05:54
5,1.371894,1.444255,0.803000,246.000000,0.444484,0.999771,05:54
6,1.378573,1.425010,0.811000,226.250000,0.425250,0.999759,05:54
7,1.292410,1.414459,0.813000,219.000000,0.414682,0.999776,05:57
8,1.373402,1.410073,0.815000,215.250000,0.410272,0.999800,05:57
9,1.326813,1.405807,0.827000,214.250000,0.406142,0.999665,05:54
