epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,8.636898,8.968563,0.898000,0.090292,0.262975,8.615294,09:12
1,9.426795,8.951759,0.802000,0.180366,0.324688,8.446704,09:12
2,8.890183,8.951632,0.830000,0.148622,0.287908,8.515101,09:12
3,8.906345,8.837312,0.811000,0.178353,0.330438,8.328521,09:11
4,8.625224,9.387218,0.868000,0.116131,0.310936,8.960152,09:11
5,9.050206,8.307566,0.897000,0.092189,0.288079,7.927297,09:14
6,8.737499,8.556832,0.899000,0.099790,0.282820,8.174223,09:11
7,8.352516,8.423925,0.871000,0.116849,0.259148,8.047928,09:11
8,8.559738,8.288994,0.885000,0.104084,0.289420,7.895489,09:11
9,8.458865,8.180337,0.888000,0.106458,0.276352,7.797524,09:11
10,8.487566,8.293287,0.892000,0.097031,0.252474,7.943784,09:11
11,8.917089,8.092504,0.893000,0.090875,0.293946,7.707682,09:11
12,8.594761,8.591352,0.882000,0.101768,0.274020,8.215565,09:14
13,8.783411,8.769045,0.883000,0.097796,0.311232,8.360017,09:12
14,8.413003,8.101018,0.895000,0.093756,0.268134,7.739129,09:10
