epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,1.693208,1.714990,0.667000,788.750000,0.715006,0.999984,07:47
1,1.179615,1.217610,0.815000,397.250000,0.374052,0.843559,07:45
2,0.905293,0.955113,0.842000,262.000000,0.296050,0.659063,07:44
3,0.688480,0.763879,0.886000,220.250000,0.229869,0.534010,07:45
4,0.734125,0.858149,0.853000,186.250000,0.274009,0.584140,07:44
5,0.713642,0.741794,0.885000,227.750000,0.221550,0.520245,07:50
6,0.644563,0.697678,0.885000,188.000000,0.226230,0.471448,07:51
7,0.627714,0.723036,0.884000,174.500000,0.216999,0.506037,07:51
8,0.660884,0.730877,0.877000,147.000000,0.225759,0.505119,07:51
9,0.628692,0.701764,0.885000,176.750000,0.225359,0.476405,07:51
