epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,10.457883,10.629760,0.874000,0.345147,0.385268,0.989935,06:00
1,10.385017,10.281072,0.872000,0.331484,0.381324,0.956826,05:57
2,10.196439,10.258579,0.872000,0.337306,0.388120,0.953315,05:57
3,10.051620,10.040644,0.856000,0.361451,0.363611,0.931558,05:56
4,10.189692,10.150236,0.860000,0.373945,0.390769,0.938552,05:58
5,10.152115,10.066510,0.864000,0.352103,0.370582,0.934382,05:57
6,10.314481,10.174809,0.863000,0.374956,0.358977,0.944087,05:56
7,9.938931,10.272746,0.863000,0.352403,0.369026,0.955132,05:57
8,9.731823,10.211840,0.869000,0.366206,0.353801,0.949183,05:57
9,10.170976,10.221345,0.869000,0.375358,0.342412,0.950357,05:57
